incident_id,delivery_id,incident_date,incident_type,resolution_status,delivery_status
INC000137,D0000762,2024-11-24,Vehicle breakdown,Resolved,VALID
INC000138,D0000786,2024-11-28,Late delivery,Escalated,VALID
INC000139,D0000788,2024-11-22,Late delivery,Resolved,VALID
INC000140,D0000790,2024-11-25,Wrong address,Resolved,VALID
INC000141,D0000793,2024-11-30,Damaged parcel,Resolved,VALID
INC000142,D0000794,2024-11-16,Late delivery,Resolved,VALID
INC000143,D0000796,2024-11-27,Lost parcel,Resolved,VALID
INC000144,D0000801,2024-11-15,Customer complaint,Escalated,VALID
INC000145,D0000808,2024-11-11,Customer complaint,Escalated,VALID
INC000146,D0000810,2024-11-26,Late delivery,Escalated,VALID
INC000147,D0000816,2024-11-01,Lost parcel,Escalated,VALID
INC000148,D0000818,2024-11-28,Damaged parcel,Resolved,VALID
INC000149,D0000819,2024-11-19,Damaged parcel,Resolved,VALID
INC000150,D0000831,2024-11-23,Damaged parcel,Resolved,VALID
INC000151,D0000840,2024-11-05,Vehicle breakdown,Resolved,VALID
INC000152,D0000845,2024-11-14,Late delivery,Resolved,VALID
INC000153,D0000847,2024-11-09,Wrong address,Resolved,VALID
INC000154,D0000853,2024-11-12,Vehicle breakdown,Resolved,VALID
INC000155,D0000855,2024-11-05,Wrong address,Resolved,VALID
INC000156,D0000865,2024-11-05,Damaged parcel,Resolved,VALID
INC000157,D0000866,2024-11-22,Damaged parcel,Resolved,VALID
INC000158,D0000867,2024-11-12,Late delivery,Resolved,VALID
INC000159,D0000871,2024-11-30,Customer complaint,Resolved,VALID
INC000160,D0000872,2024-11-15,Wrong address,Resolved,VALID
INC000161,D0000882,2024-11-15,Customer complaint,Resolved,VALID
INC000162,D0000885,2024-11-02,Customer complaint,Resolved,VALID
INC000163,D0000886,2024-11-20,Lost parcel,Resolved,VALID
INC000164,D0000891,2024-11-08,Damaged parcel,Resolved,VALID
INC000165,D0000894,2024-11-21,Damaged parcel,Resolved,VALID
INC000166,D0000895,2024-11-15,Vehicle breakdown,Escalated,VALID
INC000167,D0000901,2024-12-23,Late delivery,Resolved,VALID
INC000168,D0000906,2024-12-11,Wrong address,Resolved,VALID
INC000169,D0000916,2024-12-27,Vehicle breakdown,Resolved,VALID
INC000170,D0000920,2024-12-14,Vehicle breakdown,Resolved,VALID
INC000171,D0000927,2024-12-18,Customer complaint,Resolved,VALID
INC000172,D0000931,2024-12-11,Damaged parcel,Pending,VALID
INC000173,D0000938,2024-12-29,Customer complaint,Resolved,VALID
INC000174,D0000940,2024-12-05,Customer complaint,Escalated,VALID
INC000175,D0000945,2024-12-02,Lost parcel,Resolved,VALID
INC000176,D0000951,2024-12-16,Damaged parcel,Resolved,VALID
INC000177,D0000963,2024-12-22,Wrong address,Resolved,VALID
INC000178,D0000971,2024-12-01,Damaged parcel,Resolved,VALID
INC000179,D0000974,2024-12-04,Customer complaint,Escalated,VALID
INC000180,D0000976,2024-12-30,Wrong address,Escalated,VALID
INC000181,D0000992,2024-12-15,Lost parcel,Resolved,VALID
INC000182,D0000994,2024-12-05,Vehicle breakdown,Resolved,VALID
INC000183,D0000995,2024-12-25,Wrong address,Resolved,VALID
INC000184,D0001006,2024-12-18,Wrong address,Resolved,VALID
INC000185,D0001010,2024-12-24,Customer complaint,Escalated,VALID
INC000186,D0001018,2024-12-04,Customer complaint,Resolved,VALID
INC000187,D0001020,2024-12-03,Customer complaint,Resolved,VALID
INC000188,D0001059,2025-01-05,Vehicle breakdown,Resolved,VALID
INC000189,D0001060,2025-01-20,Customer complaint,Resolved,VALID
INC000190,D0001062,2025-01-25,Late delivery,Resolved,VALID
INC000191,D0001063,2025-01-21,Lost parcel,Pending,VALID
INC000192,D0001068,2025-01-18,Late delivery,Resolved,VALID
INC000193,D0001076,2025-01-28,Damaged parcel,Resolved,VALID
INC000194,D0001089,2025-01-12,Wrong address,Escalated,VALID
INC000195,D0001090,2025-01-28,Late delivery,Resolved,VALID
INC000196,D0001095,2025-01-29,Customer complaint,Pending,VALID
INC000197,D0001097,2025-01-11,Vehicle breakdown,Resolved,VALID
INC000198,D0001102,2025-01-27,Lost parcel,Pending,VALID
INC000199,D0001106,2025-01-10,Customer complaint,Resolved,VALID
INC000200,D0001109,2025-01-10,Late delivery,Resolved,VALID
INC000201,D0001120,2025-01-21,Damaged parcel,Resolved,VALID
INC000202,D0001127,2025-01-07,Late delivery,Resolved,VALID
INC000203,D0001129,2025-01-28,Lost parcel,Pending,VALID
INC000204,D0001137,2025-01-19,Customer complaint,Resolved,VALID
INC000205,D0001144,2025-01-04,Wrong address,Resolved,VALID
INC000206,D0001147,2025-01-22,Late delivery,Resolved,VALID
INC000207,D0001148,2025-01-12,Wrong address,Resolved,VALID
INC000208,D0001152,2025-01-17,Vehicle breakdown,Resolved,VALID
INC000209,D0001154,2025-01-01,Wrong address,Resolved,VALID
INC000210,D0001158,2025-02-19,Vehicle breakdown,Resolved,VALID
INC000211,D0001159,2025-02-15,Damaged parcel,Resolved,VALID
INC000212,D0001162,2025-02-26,Customer complaint,Resolved,VALID
INC000213,D0001163,2025-02-14,Late delivery,Resolved,VALID
INC000214,D0001164,2025-02-17,Wrong address,Resolved,VALID
INC000215,D0001169,2025-02-20,Lost parcel,Resolved,VALID
INC000216,D0001170,2025-02-05,Vehicle breakdown,Pending,VALID
INC000217,D0001175,2025-02-09,Late delivery,Escalated,VALID
INC000218,D0001178,2025-02-04,Vehicle breakdown,Resolved,VALID
INC000219,D0001185,2025-02-09,Customer complaint,Pending,VALID
INC000220,D0001187,2025-02-28,Damaged parcel,Resolved,VALID
INC000221,D0001192,2025-02-01,Damaged parcel,Resolved,VALID
INC000222,D0001197,2025-02-15,Late delivery,Resolved,VALID
INC000223,D0001211,2025-02-04,Late delivery,Resolved,VALID
INC000224,D0001218,2025-02-07,Late delivery,Resolved,VALID
INC000225,D0001224,2025-02-14,Customer complaint,Pending,VALID
INC000226,D0001229,2025-02-01,Late delivery,Resolved,VALID
INC000227,D0001256,2025-02-16,Customer complaint,Resolved,VALID
INC000228,D0001257,2025-02-24,Lost parcel,Resolved,VALID
INC000229,D0001260,2025-02-04,Damaged parcel,Resolved,VALID
INC000230,D0001269,2025-02-18,Damaged parcel,Escalated,VALID
INC000231,D0001273,2025-03-17,Late delivery,Resolved,VALID
INC000232,D0001279,2025-03-02,Late delivery,Resolved,VALID
INC000233,D0001281,2025-03-29,Late delivery,Resolved,VALID
INC000234,D0001285,2025-03-19,Customer complaint,Resolved,VALID
INC000235,D0001292,2025-03-03,Lost parcel,Resolved,VALID
INC000236,D0001299,2025-03-18,Customer complaint,Escalated,VALID
INC000237,D0001307,2025-03-31,Customer complaint,Resolved,VALID
INC000238,D0001310,2025-03-18,Late delivery,Resolved,VALID
INC000239,D0001311,2025-03-28,Customer complaint,Escalated,VALID
INC000240,D0001312,2025-03-28,Lost parcel,Resolved,VALID
INC000241,D0001323,2025-03-26,Damaged parcel,Resolved,VALID
INC000242,D0001334,2025-03-16,Customer complaint,Resolved,VALID
INC000243,D0001336,2025-03-10,Wrong address,Escalated,VALID
INC000244,D0001343,2025-03-25,Vehicle breakdown,Resolved,VALID
INC000245,D0001345,2025-03-21,Late delivery,Pending,VALID
INC000246,D0001346,2025-03-29,Damaged parcel,Resolved,VALID
INC000247,D0001350,2025-03-29,Late delivery,Resolved,VALID
INC000248,D0001351,2025-03-13,Customer complaint,Resolved,VALID
INC000249,D0001353,2025-03-01,Late delivery,Resolved,VALID
INC000250,D0001357,2025-03-22,Customer complaint,Resolved,VALID
INC000251,D0001358,2025-03-05,Wrong address,Pending,VALID
INC000252,D0001372,2025-03-03,Late delivery,Resolved,VALID
INC000253,D0001376,2025-03-02,Damaged parcel,Resolved,VALID
INC000254,D0001380,2025-03-20,Vehicle breakdown,Resolved,VALID
INC000255,D0001382,2025-03-07,Customer complaint,Resolved,VALID
INC000256,D0001384,2025-03-07,Damaged parcel,Resolved,VALID
INC000257,D0001389,2025-03-18,Customer complaint,Resolved,VALID
INC000258,D0001392,2025-04-15,Late delivery,Pending,VALID
INC000259,D0001393,2025-04-29,Customer complaint,Pending,VALID
INC000260,D0001403,2025-04-12,Customer complaint,Escalated,VALID
INC000261,D0001406,2025-04-16,Customer complaint,Resolved,VALID
INC000262,D0001409,2025-04-02,Customer complaint,Resolved,VALID
INC000263,D0001410,2025-04-20,Late delivery,Resolved,VALID
INC000264,D0001424,2025-04-06,Vehicle breakdown,Resolved,VALID
INC000265,D0001432,2025-04-11,Customer complaint,Resolved,VALID
INC000266,D0001433,2025-04-24,Vehicle breakdown,Resolved,VALID
INC000267,D0001437,2025-04-06,Late delivery,Resolved,VALID
INC000268,D0001440,2025-04-23,Damaged parcel,Resolved,VALID
INC000269,D0001443,2025-04-17,Customer complaint,Resolved,VALID
INC000270,D0001444,2025-04-20,Wrong address,Resolved,VALID
INC000271,D0001445,2025-04-20,Vehicle breakdown,Escalated,VALID
INC000272,D0001447,2025-04-10,Customer complaint,Resolved,VALID
INC000273,D0001449,2025-04-30,Late delivery,Resolved,VALID
INC000274,D0001453,2025-04-05,Customer complaint,Pending,VALID
INC000275,D0001454,2025-04-10,Vehicle breakdown,Resolved,VALID
INC000276,D0001461,2025-04-21,Damaged parcel,Resolved,VALID
INC000277,D0001465,2025-04-28,Late delivery,Resolved,VALID
INC000278,D0001466,2025-04-03,Late delivery,Resolved,VALID
INC000279,D0001467,2025-04-26,Wrong address,Resolved,VALID
INC000280,D0001477,2025-04-08,Late delivery,Resolved,VALID
INC000281,D0001479,2025-04-29,Damaged parcel,Resolved,VALID
INC000282,D0001492,2025-04-18,Lost parcel,Resolved,VALID
INC000283,D0001500,2025-04-14,Vehicle breakdown,Pending,VALID
INC000284,D0001501,2025-04-10,Damaged parcel,Resolved,VALID
INC000285,D0001512,2025-04-13,Wrong address,Resolved,VALID
INC000286,D0001518,2025-04-20,Late delivery,Pending,VALID
INC000287,D0001525,2025-04-12,Customer complaint,Resolved,VALID
INC000288,D0001533,2025-05-24,Vehicle breakdown,Pending,VALID
INC000289,D0001534,2025-05-01,Customer complaint,Resolved,VALID
INC000290,D0001536,2025-05-25,Customer complaint,Escalated,VALID
INC000291,D0001539,2025-05-13,Late delivery,Resolved,VALID
INC000292,D0001541,2025-05-17,Lost parcel,Pending,VALID
INC000293,D0001564,2025-05-06,Late delivery,Resolved,VALID
INC000294,D0001566,2025-05-25,Damaged parcel,Resolved,VALID
INC000295,D0001567,2025-05-05,Wrong address,Resolved,VALID
INC000296,D0001572,2025-05-22,Lost parcel,Resolved,VALID
INC000297,D0001574,2025-05-03,Vehicle breakdown,Resolved,VALID
INC000298,D0001580,2025-05-28,Wrong address,Resolved,VALID
INC000299,D0001583,2025-05-19,Customer complaint,Resolved,VALID
INC000300,D0001585,2025-05-17,Customer complaint,Resolved,VALID
INC000301,D0001586,2025-05-31,Wrong address,Resolved,VALID
INC000302,D0001590,2025-05-30,Customer complaint,Resolved,VALID
INC000303,D0001598,2025-05-05,Damaged parcel,Resolved,VALID
INC000304,D0001600,2025-05-25,Lost parcel,Resolved,VALID
INC000305,D0001606,2025-05-21,Late delivery,Resolved,VALID
INC000306,D0001608,2025-05-22,Customer complaint,Pending,VALID
INC000307,D0001612,2025-05-09,Customer complaint,Resolved,VALID
INC000308,D0001614,2025-05-12,Late delivery,Resolved,VALID
INC000309,D0001615,2025-05-31,Late delivery,Resolved,VALID
INC000310,D0001628,2025-05-10,Late delivery,Resolved,VALID
INC000311,D0001629,2025-05-28,Vehicle breakdown,Resolved,VALID
INC000312,D0001634,2025-05-30,Customer complaint,Resolved,VALID
INC000313,D0001636,2025-05-17,Lost parcel,Escalated,VALID
INC000314,D0001637,2025-05-28,Vehicle breakdown,Resolved,VALID
INC000315,D0001640,2025-06-14,Vehicle breakdown,Resolved,VALID
INC000316,D0001644,2025-06-24,Customer complaint,Resolved,VALID
INC000317,D0001646,2025-06-14,Lost parcel,Resolved,VALID
INC000318,D0001649,2025-06-20,Late delivery,Resolved,VALID
INC000319,D0001655,2025-06-22,Late delivery,Escalated,VALID
INC000320,D0001660,2025-06-14,Damaged parcel,Resolved,VALID
INC000321,D0001663,2025-06-30,Damaged parcel,Resolved,VALID
INC000322,D0001671,2025-06-11,Wrong address,Resolved,VALID
INC000323,D0001681,2025-06-17,Customer complaint,Pending,VALID
INC000324,D0001683,2025-06-11,Wrong address,Resolved,VALID
INC000325,D0001686,2025-06-16,Customer complaint,Resolved,VALID
INC000326,D0001695,2025-06-29,Lost parcel,Resolved,VALID
INC000327,D0001698,2025-06-13,Late delivery,Resolved,VALID
INC000328,D0001707,2025-06-06,Customer complaint,Resolved,VALID
INC000329,D0001717,2025-06-08,Vehicle breakdown,Resolved,VALID
INC000330,D0001718,2025-06-04,Damaged parcel,Escalated,VALID
INC000331,D0001719,2025-06-26,Wrong address,Resolved,VALID
INC000332,D0001728,2025-06-17,Customer complaint,Escalated,VALID
INC000333,D0001743,2025-06-06,Customer complaint,Resolved,VALID
INC000334,D0001744,2025-06-08,Late delivery,Resolved,VALID
INC000335,D0001748,2025-06-03,Vehicle breakdown,Resolved,VALID
INC000336,D0001752,2025-06-04,Late delivery,Resolved,VALID
INC000337,D0001756,2025-06-21,Late delivery,Resolved,VALID
INC000338,D0001758,2025-06-11,Damaged parcel,Resolved,VALID
INC000339,D0001763,2025-06-20,Late delivery,Resolved,VALID
INC000340,D0001776,2024-10-26,Late delivery,Resolved,VALID
INC000341,D0001777,2024-10-30,Lost parcel,Resolved,VALID
INC000342,D0001779,2024-10-14,Vehicle breakdown,Pending,VALID
INC000343,D0001783,2024-10-02,Wrong address,Escalated,VALID
INC000344,D0001790,2024-10-03,Late delivery,Resolved,VALID
INC000345,D0001793,2024-10-31,Lost parcel,Resolved,VALID
INC000346,D0001796,2024-11-06,Damaged parcel,Resolved,VALID
INC000347,D0001798,2024-11-11,Damaged parcel,Resolved,VALID
INC000348,D0001804,2024-11-18,Lost parcel,Pending,VALID
INC000349,D0001805,2024-11-09,Damaged parcel,Escalated,VALID
INC000350,D0001812,2024-11-26,Late delivery,Resolved,VALID
INC000351,D0001813,2024-11-15,Late delivery,Resolved,VALID
INC000352,D0001814,2024-11-19,Customer complaint,Resolved,VALID
INC000353,D0001815,2024-11-07,Customer complaint,Resolved,VALID
INC000354,D0001817,2024-11-15,Late delivery,Resolved,VALID
INC000355,D0001818,2024-12-18,Damaged parcel,Resolved,VALID
INC000356,D0001822,2024-12-11,Wrong address,Resolved,VALID
INC000357,D0001823,2024-12-22,Damaged parcel,Resolved,VALID
INC000358,D0001830,2024-12-02,Damaged parcel,Resolved,VALID
INC000359,D0001833,2024-12-21,Vehicle breakdown,Resolved,VALID
INC000360,D0001835,2024-12-26,Wrong address,Resolved,VALID
INC000361,D0001846,2025-01-19,Wrong address,Resolved,VALID
INC000362,D0001848,2025-01-08,Customer complaint,Resolved,VALID
INC000363,D0001854,2025-02-13,Customer complaint,Resolved,VALID
INC000364,D0001855,2025-02-23,Vehicle breakdown,Resolved,VALID
INC000365,D0001858,2025-02-24,Late delivery,Resolved,VALID
INC000366,D0001860,2025-02-22,Damaged parcel,Resolved,VALID
INC000367,D0001863,2025-02-02,Late delivery,Resolved,VALID
INC000368,D0001865,2025-02-05,Late delivery,Resolved,VALID
INC000369,D0001867,2025-02-09,Damaged parcel,Resolved,VALID
INC000370,D0001868,2025-03-11,Wrong address,Resolved,VALID
INC000371,D0001871,2025-03-12,Vehicle breakdown,Resolved,VALID
INC000372,D0001874,2025-03-31,Damaged parcel,Resolved,VALID
INC000373,D0001877,2025-03-27,Vehicle breakdown,Resolved,VALID
INC000374,D0001883,2025-03-11,Vehicle breakdown,Resolved,VALID
INC000375,D0001886,2025-04-20,Damaged parcel,Resolved,VALID
INC000376,D0001892,2025-04-02,Wrong address,Resolved,VALID
INC000377,D0001900,2025-04-14,Wrong address,Resolved,VALID
INC000378,D0001907,2025-05-18,Damaged parcel,Resolved,VALID
INC000379,D0001909,2025-05-27,Late delivery,Resolved,VALID
INC000380,D0001916,2025-05-11,Vehicle breakdown,Resolved,VALID
INC000381,D0001918,2025-05-17,Late delivery,Resolved,VALID
INC000382,D0001920,2025-05-02,Customer complaint,Resolved,VALID
INC000383,D0001925,2025-06-16,Wrong address,Resolved,VALID
INC000384,D0001928,2025-06-11,Late delivery,Resolved,VALID
INC000385,D0001940,2024-10-19,Late delivery,Resolved,VALID
INC000386,D0001943,2024-10-20,Wrong address,Resolved,VALID
INC000387,D0001948,2024-10-27,Damaged parcel,Resolved,VALID
INC000388,D0001957,2024-11-13,Vehicle breakdown,Resolved,VALID
INC000389,D0001963,2024-11-06,Customer complaint,Resolved,VALID
INC000390,D0001969,2024-11-22,Customer complaint,Pending,VALID
INC000391,D0001971,2024-11-13,Late delivery,Resolved,VALID
INC000392,D0001972,2024-12-30,Vehicle breakdown,Resolved,VALID
INC000393,D0001974,2024-12-11,Vehicle breakdown,Resolved,VALID
INC000394,D0001977,2024-12-05,Customer complaint,Resolved,VALID
INC000395,D0001984,2024-12-20,Damaged parcel,Resolved,VALID
INC000396,D0001988,2024-12-10,Wrong address,Resolved,VALID
INC000397,D0001999,2025-02-07,Late delivery,Escalated,VALID
INC000398,D0002005,2025-02-17,Damaged parcel,Resolved,VALID
INC000399,D0002015,2025-03-30,Late delivery,Resolved,VALID
INC000400,D0002017,2025-03-30,Damaged parcel,Resolved,VALID
INC000401,D0002023,2025-04-22,Customer complaint,Resolved,VALID
INC000402,D0002025,2025-04-17,Wrong address,Resolved,VALID
INC000403,D0002027,2025-04-23,Lost parcel,Resolved,VALID
INC000404,D0002034,2025-05-13,Late delivery,Resolved,VALID
INC000405,D0002040,2025-05-24,Vehicle breakdown,Pending,VALID
INC000406,D0002050,2025-06-22,Vehicle breakdown,Resolved,VALID
INC000407,D0002052,2024-10-05,Customer complaint,Resolved,VALID
INC000408,D0002055,2024-10-19,Damaged parcel,Escalated,VALID
INC000409,D0002057,2024-10-21,Lost parcel,Pending,VALID
INC000410,D0002068,2024-10-05,Late delivery,Resolved,VALID
INC000411,D0002071,2024-10-28,Late delivery,Resolved,VALID
INC000412,D0002072,2024-10-13,Vehicle breakdown,Resolved,VALID
INC000413,D0002078,2024-10-07,Damaged parcel,Resolved,VALID
INC000414,D0002085,2024-10-21,Late delivery,Resolved,VALID
INC000415,D0002088,2024-10-02,Vehicle breakdown,Resolved,VALID
INC000416,D0002091,2024-10-11,Late delivery,Resolved,VALID
INC000417,D0002093,2024-10-07,Vehicle breakdown,Escalated,VALID
INC000418,D0002094,2024-10-14,Late delivery,Resolved,VALID
